Car_id,Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin
1,volkswagen 1131 deluxe sedan,26,4,97,46,1835,20.5,70,Europe
2,volkswagen super beetle,26,4,97,46,1950,21,73,Europe
3,volkswagen rabbit custom diesel,43.1,4,90,48,1985,21.5,78,Europe
4,vw rabbit c (diesel),44.3,4,90,48,2085,21.7,80,Europe
5,vw dasher (diesel),43.4,4,90,48,2335,23.7,80,Europe
6,fiat 128,29,4,68,49,1867,19.5,73,Europe
7,toyota corona,31,4,76,52,1649,16.5,74,Japan
8,chevrolet chevette,29,4,85,52,2035,22.2,76,US
9,mazda glc deluxe,32.8,4,78,52,1985,19.4,78,Japan
10,vw pickup,44,4,97,52,2130,24.6,82,Europe
11,honda civic cvcc,33,4,91,53,1795,17.5,75,Japan
12,honda civic,33,4,91,53,1795,17.4,76,Japan
13,volkswagen type 3,23,4,97,54,2254,23.5,72,Europe
14,renault 5 gtl,36,4,79,58,1825,18.6,77,Europe
15,toyota starlet,39.1,4,79,58,1755,16.9,81,Japan
16,volkswagen model 111,27,4,97,60,1834,19,71,Europe
17,chevrolet woody,24.5,4,98,60,2164,22.1,76,US
18,honda civic cvcc,36.1,4,91,60,1800,16.4,78,Japan
19,toyota corolla tercel,38.1,4,89,60,1968,18.8,80,Japan
20,honda civic 1300,35.1,4,81,60,1760,16.1,81,Japan
21,datsun 710,32,4,83,61,2003,19,74,Japan
22,vokswagen rabbit,29.8,4,89,62,1845,15.3,80,Europe
23,toyota tercel,37.7,4,89,62,2050,17.3,81,Japan
24,chevrolet chevette,30.5,4,98,63,2051,17,77,US
25,plymouth horizon 4,34.7,4,105,63,2215,14.9,81,US
26,plymouth horizon miser,38,4,105,63,2125,14.7,82,US
27,plymouth champ,39,4,86,64,1875,16.4,81,US
28,toyota corolla 1200,31,4,71,65,1773,19,71,Japan
29,toyota corolla 1200,32,4,71,65,1836,21,74,Japan
30,maxda glc deluxe,34.1,4,86,65,1975,15.2,79,Japan
31,datsun 210,31.8,4,85,65,2020,19.2,79,Japan
32,datsun 310,37.2,4,86,65,2019,16.4,80,Japan
33,mazda glc,46.6,4,86,65,2110,17.9,80,Japan
34,datsun 210,40.8,4,85,65,2110,19.2,80,Japan
35,datsun 210 mpg,37,4,85,65,1975,19.4,81,Japan
36,ford escort 4w,34.4,4,98,65,2045,16.2,81,US
37,ford escort 2h,29.9,4,98,65,2380,20.7,81,US
38,ford fiesta,36.1,4,98,66,1800,14.4,78,US
39,datsun b210,31,4,79,67,1950,19,74,Japan
40,volkswagen dasher,26,4,79,67,1963,15.5,74,Europe
41,fiat x1.9,31,4,79,67,2000,16,74,Europe
42,subaru dl,30,4,97,67,1985,16.4,77,Japan
43,audi 5000s (diesel),36.4,5,121,67,2950,19.9,80,Europe
44,mercedes-benz 240d,30,4,146,67,3250,21.8,80,Europe
45,honda civic 1500 gl,44.6,4,91,67,1850,13.8,80,Japan
46,subaru dl,33.8,4,97,67,2145,18,80,Japan
47,subaru,32.3,4,97,67,2065,17.8,81,Japan
48,honda civic,38,4,91,67,1965,15,82,Japan
49,honda civic (auto),32,4,91,67,1965,15.7,82,Japan
50,datsun 310 gx,38,4,91,67,1995,16.2,82,Japan
51,honda accord cvcc,31.5,4,98,68,2045,18.5,77,Japan
52,chevrolet chevette,30,4,98,68,2155,16.5,78,US
53,honda accord lx,29.5,4,98,68,2135,16.6,78,Japan
54,mazda glc 4,34.1,4,91,68,1985,16,81,Japan
55,mazda glc custom l,37,4,91,68,2025,18.2,82,Japan
56,mazda glc custom,31,4,91,68,1970,17.6,82,Japan
57,datsun 1200,35,4,72,69,1613,18,71,Japan
58,renault 12 (sw),26,4,96,69,2189,18,72,Europe
59,fiat strada custom,37.3,4,91,69,2130,14.7,79,Europe
60,peugeot 304,30,4,79,70,2074,19.5,71,Europe
61,plymouth cricket,26,4,91,70,1955,20.5,71,US
62,volkswagen rabbit,29,4,90,70,1937,14,75,Europe
63,vw rabbit,29,4,90,70,1937,14.2,76,Europe
64,datsun b-210,32,4,85,70,1990,17,76,Japan
65,datsun f-10 hatchback,33.5,4,85,70,1945,16.8,77,Japan
66,datsun b210 gx,39.4,4,85,70,2070,18.6,78,Japan
67,plymouth horizon,34.2,4,105,70,2200,13.2,79,US
68,plymouth horizon tc3,34.5,4,105,70,2150,14.9,79,US
69,chevrolet chevette,32.1,4,98,70,2120,15.5,80,US
70,mercury lynx l,36,4,98,70,2125,17.3,82,US
71,toyota corolla,34,4,108,70,2245,16.9,82,Japan
72,volkswagen dasher,25,4,90,71,2223,16.5,75,Europe
73,volkswagen rabbit,29.5,4,97,71,1825,12.2,76,Europe
74,volkswagen scirocco,31.5,4,89,71,1990,14.9,78,Europe
75,vw rabbit custom,31.9,4,89,71,1925,14,79,Europe
76,peugeot 504,27.2,4,141,71,3190,24.8,79,Europe
77,chevrolet vega (sw),22,4,140,72,2408,19,71,US
78,chevrolet vega,21,4,140,72,2401,19.5,73,US
79,mercury monarch,15,6,250,72,3432,21,75,US
80,ford maverick,15,6,250,72,3158,19.5,75,US
81,ford pinto,26.5,4,140,72,2565,13.6,76,US
82,honda accord,32.4,4,107,72,2290,17,80,Japan
83,volkswagen jetta,33,4,105,74,2190,14.2,81,Europe
84,mazda 626,31.6,4,120,74,2635,18.3,81,Japan
85,volkswagen rabbit l,36,4,105,74,1980,15.3,82,Europe
86,opel manta,24,4,116,75,2158,15.5,73,Europe
87,chevrolet vega,25,4,140,75,2542,17,74,US
88,dodge colt,28,4,90,75,2125,14.5,74,US
89,fiat 128,24,4,90,75,2108,15.5,74,Europe
90,fiat 124 tc,26,4,116,75,2246,14,74,Europe
91,toyota corolla,29,4,97,75,2171,16,75,Japan
92,toyota corolla,28,4,97,75,2155,16.4,76,Japan
93,toyota corolla liftback,26,4,97,75,2265,18.2,77,Japan
94,dodge omni,30.9,4,105,75,2230,14.5,78,US
95,mazda 626,31.3,4,120,75,2542,17.5,80,Japan
96,toyota corolla,32.2,4,108,75,2265,15.2,80,Japan
97,honda prelude,33.7,4,107,75,2210,14.4,81,Japan
98,toyota corolla,32.4,4,108,75,2350,16.8,81,Japan
99,honda accord,36,4,107,75,2205,14.5,82,Japan
100,fiat 124b,30,4,88,76,2065,14.5,71,Europe
101,volkswagen 411 (sw),22,4,121,76,2511,18,72,Europe
102,vw rabbit,41.5,4,98,76,2144,14.7,80,Europe
103,volvo diesel,30.7,6,145,76,3160,19.6,81,Europe
104,mercedes benz 300d,25.4,5,183,77,3530,20.1,79,Europe
105,opel manta,26,4,97,78,2300,14.5,74,Europe
106,pontiac astro,23,4,140,78,2592,18.5,75,US
107,ford granada ghia,18,6,250,78,3574,21,76,US
108,volkswagen rabbit custom,29,4,97,78,1940,14.5,77,Europe
109,volkswagen dasher,30.5,4,97,78,2190,14.1,77,Europe
110,audi 4000,34.3,4,97,78,2188,15.8,80,Europe
111,dodge colt,26,4,98,79,2255,17.7,76,US
112,ford ranger,28,4,120,79,2625,18.6,82,US
113,dodge colt hardtop,25,4,97.5,80,2126,17,72,US
114,dodge colt (sw),28,4,98,80,2164,15,72,US
115,ford pinto,26,4,122,80,2451,16.5,74,US
116,buick opel isuzu deluxe,30,4,111,80,2155,14.8,77,US
117,dodge colt hatchback custom,35.7,4,98,80,1915,14.4,79,US
118,amc spirit dl,27.4,4,121,80,2670,15,79,US
119,peugeot 505s turbo diesel,28.1,4,141,80,3230,20.4,81,Europe
120,opel 1900,25,4,116,81,2220,16.9,76,Europe
121,ford maverick,24,6,200,81,3012,17.6,76,US
122,chevy s-10,31,4,119,82,2720,19.4,82,US
123,audi fox,29,4,98,83,2219,16.5,74,Europe
124,ford pinto,23,4,140,83,2639,17,75,US
125,renault 12tl,27,4,101,83,2202,15.3,76,Europe
126,dodge colt m/m,33.5,4,98,83,2075,15.9,77,US
127,plymouth reliant,27.2,4,135,84,2490,15.7,81,US
128,buick skylark,26.6,4,151,84,2635,16.4,81,US
129,plymouth reliant,30,4,135,84,2385,12.9,81,US
130,dodge aries se,29,4,135,84,2525,16,82,US
131,dodge charger 2.2,36,4,135,84,2370,13,82,US
132,dodge rampage,32,4,135,84,2295,11.6,82,US
133,ford maverick,21,6,200,85,2587,16,70,US
134,ford pinto,19,4,122,85,2310,18.5,73,US
135,ford fairmont (auto),20.2,6,200,85,2965,15.8,78,US
136,mercury zephyr,20.8,6,200,85,3070,16.7,78,US
137,oldsmobile starfire sx,23.8,4,151,85,2855,17.6,78,US
138,mercury zephyr 6,19.8,6,200,85,2990,18.2,79,US
139,chrysler lebaron salon,17.6,6,225,85,3465,16.6,81,US
140,pontiac j2000 se hatchback,31,4,112,85,2575,16.2,82,US
141,oldsmobile cutlass ciera (diesel),38,6,262,85,3015,17,82,US
142,mercury capri 2000,23,4,122,86,2220,14,71,US
143,ford pinto runabout,21,4,122,86,2226,16.5,72,US
144,ford pinto (sw),22,4,122,86,2395,16,72,US
145,fiat 131,28,4,107,86,2464,15.5,76,Europe
146,ford mustang gl,27,4,140,86,2790,15.6,82,US
147,peugeot 504,25,4,110,87,2672,17.5,70,Europe
148,peugeot 504 (sw),21,4,120,87,2979,19.5,72,Europe
149,datsun pl510,27,4,97,88,2130,14.5,70,Japan
150,datsun pl510,27,4,97,88,2130,14.5,71,Japan
151,ford torino 500,19,6,250,88,3302,15.5,71,US
152,ford mustang,18,6,250,88,3139,14.5,71,US
153,toyota corolla 1600 (sw),27,4,97,88,2100,16.5,72,Japan
154,ford maverick,18,6,250,88,3021,16.5,73,US
155,toyota carina,20,4,97,88,2279,19,73,Japan
156,peugeot 504,23,4,120,88,2957,17,75,Europe
157,peugeot 504,19,4,120,88,3270,21.9,76,Europe
158,pontiac sunbird coupe,24.5,4,151,88,2740,16,77,US
159,ford fairmont (man),25.1,4,140,88,2720,15.4,78,US
160,ford fairmont 4,22.3,4,140,88,2890,17.3,79,US
161,ford fairmont,26.4,4,140,88,2870,18.1,80,US
162,triumph tr7 coupe,35,4,122,88,2500,15.1,80,Europe
163,ford granada gl,20.2,6,200,88,3060,17.1,81,US
164,chevrolet cavalier,28,4,112,88,2605,19.6,82,US
165,chevrolet cavalier wagon,27,4,112,88,2640,18.6,82,US
166,chevrolet cavalier 2-door,34,4,112,88,2395,18,82,US
167,nissan stanza xe,36,4,120,88,2160,14.5,82,Japan
168,ford mustang ii 2+2,25.5,4,140,89,2755,15.8,77,US
169,audi 100 ls,24,4,107,90,2430,14.5,70,Europe
170,amc gremlin,21,6,199,90,2648,15,70,US
171,chevrolet vega 2300,28,4,140,90,2264,15.5,71,US
172,opel 1900,28,4,116,90,2123,14,71,Europe
173,chevrolet vega,20,4,140,90,2408,19.5,72,US
174,maxda rx3,18,3,70,90,2124,13.5,73,Japan
175,fiat 124 sport coupe,26,4,98,90,2265,15.5,73,Europe
176,amc pacer,19,6,232,90,3211,17,75,US
177,amc hornet,22.5,6,232,90,3085,17.6,76,US
178,amc concord,19.4,6,232,90,3210,17.2,78,US
179,amc concord dl 6,20.2,6,232,90,3265,18.2,79,US
180,oldsmobile cutlass salon brougham,23.9,8,260,90,3420,22.2,79,US
181,buick skylark limited,28.4,4,151,90,2670,16,79,US
182,pontiac phoenix,33.5,4,151,90,2556,13.2,79,US
183,chevrolet citation,28,4,151,90,2678,16.5,80,US
184,amc concord,24.3,4,151,90,3003,20.1,80,US
185,dodge aspen,19.1,6,225,90,3381,18.7,80,US
186,toyota corona liftback,29.8,4,134,90,2711,15.5,80,Japan
187,pontiac phoenix,27,4,151,90,2735,18,82,US
188,chevrolet camaro,27,4,151,90,2950,17.3,82,US
189,audi 100ls,20,4,114,91,2582,14,73,Europe
190,datsun 510 (sw),28,4,97,92,2288,17,72,Japan
191,capri ii,25,4,140,92,2572,14.9,76,US
192,datsun 510 hatchback,37,4,119,92,2434,15,80,Japan
